,Season,Player,Market_Value
0,2016,Claudio Bravo,10.20
1,2016,Willy Caballero,1.70
2,2016,Angus Gunn,213
3,2016,John Stones,29.75
4,2016,Nicolás Otamendi,25.50
5,2016,Vincent Kompany,21.25
6,2016,Aleksandar Kolarov,9.35
7,2016,Gaël Clichy,6.80
8,2016,Pablo Zabaleta,6.80
9,2016,Bacary Sagna,4.25
10,2016,Fernando,11.05
11,2016,Aleix García,
12,2016,Ilkay Gündogan,25.50
13,2016,Fernandinho,21.25
14,2016,Yaya Touré,8.50
15,2016,Fabian Delph,6.80
16,2016,Kevin De Bruyne,55.25
17,2016,David Silva,25.50
18,2016,Raheem Sterling,38.25
19,2016,Leroy Sané,25.50
20,2016,Nolito,15.30
21,2016,Jesús Navas,12.75
22,2016,Sergio Agüero,55.25
23,2016,Gabriel Jesus,21.25
24,2016,Kelechi Iheanacho,8.50
25,2015,Joe Hart,13.60
26,2015,Willy Caballero,4.25
27,2015,Richard Wright,213
28,2015,Vincent Kompany,28.05
29,2015,Eliaquim Mangala,25.50
30,2015,Nicolás Otamendi,15.30
31,2015,Martín Demichelis,1.70
32,2015,Jason Denayer,425
33,2015,Tosin Adarabioyo,
34,2015,Cameron Humphreys,
35,2015,Aleksandar Kolarov,9.35
36,2015,Gaël Clichy,8.50
37,2015,Angeliño,
38,2015,Pablo Zabaleta,15.30
39,2015,Bacary Sagna,5.95
40,2015,James Horsfield,
41,2015,Pablo Maffeo,
42,2015,Fernando,13.60
43,2015,Luke Brattan,340
44,2015,George Evans,
45,2015,George Glendon,
46,2015,Aleix García,
47,2015,Fernandinho,23.80
48,2015,Yaya Touré,23.80
49,2015,Fabian Delph,6.80
50,2015,David Silva,32.30
51,2015,Kevin De Bruyne,29.75
52,2015,Samir Nasri,17.85
53,2015,Bersant Celina,
54,2015,Manu García,
55,2015,Raheem Sterling,25.50
56,2015,Brandon Barker,
57,2015,Jesús Navas,17.00
58,2015,Patrick Roberts,2.13
59,2015,Sergio Agüero,42.50
60,2015,Wilfried Bony,21.25
61,2015,Kelechi Iheanacho,85
62,2015,David Faupala,
63,2014,Joe Hart,13.60
64,2014,Willy Caballero,4.25
65,2014,Richard Wright,213
66,2014,Vincent Kompany,29.75
67,2014,Eliaquim Mangala,19.55
68,2014,Matija Nastasic,17.85
69,2014,Micah Richards,10.20
70,2014,Karim Rekik,2.13
71,2014,Martín Demichelis,2.13
72,2014,Dedryck Boyata,1.49
73,2014,Jason Denayer,
74,2014,Gaël Clichy,11.05
75,2014,Aleksandar Kolarov,10.20
76,2014,Angeliño,
77,2014,Pablo Zabaleta,16.15
78,2014,Bacary Sagna,10.20
79,2014,Fernando,14.88
80,2014,George Glendon,
81,2014,Fernandinho,27.20
82,2014,Yaya Touré,25.50
83,2014,James Milner,12.75
84,2014,Bruno Zuculini,3.40
85,2014,Frank Lampard,1.70
86,2014,David Silva,34.00
87,2014,Samir Nasri,18.70
88,2014,Sinan Bytyqi,
89,2014,Bersant Celina,
90,2014,Scott Sinclair,5.10
91,2014,Jesús Navas,17.00
92,2014,Sergio Agüero,38.25
93,2014,Stevan Jovetic,22.10
94,2014,Edin Dzeko,20.40
95,2014,Wilfried Bony,12.75
96,2014,John Guidetti,3.83
97,2014,José Pozo,
98,2014,Thierry Ambrose,
99,2013,Joe Hart,20.40
100,2013,Costel Pantilimon,2.55
101,2013,Richard Wright,213
102,2013,Vincent Kompany,29.75
103,2013,Matija Nastasic,14.45
104,2013,Micah Richards,13.60
105,2013,Joleon Lescott,9.78
106,2013,Martín Demichelis,2.55
107,2013,Karim Rekik,1.70
108,2013,Dedryck Boyata,1.49
109,2013,Gaël Clichy,12.75
110,2013,Aleksandar Kolarov,10.63
111,2013,Pablo Zabaleta,13.60
112,2013,Javi García,14.45
113,2013,Jack Rodwell,12.75
114,2013,Emyr Huws,
115,2013,Yaya Touré,30.60
116,2013,Fernandinho,27.20
117,2013,James Milner,14.45
118,2013,David Silva,37.40
119,2013,Samir Nasri,17.85
120,2013,Rony Lopes,
121,2013,Jesús Navas,17.00
122,2013,Sergio Agüero,38.25
123,2013,Stevan Jovetic,23.80
124,2013,Edin Dzeko,22.95
125,2013,Álvaro Negredo,17.00
126,2013,John Guidetti,5.95
127,2012,Joe Hart,19.98
128,2012,Costel Pantilimon,2.98
129,2012,Richard Wright,213
130,2012,Eirik Johansen,
131,2012,Vincent Kompany,29.75
132,2012,Micah Richards,15.73
133,2012,Joleon Lescott,12.75
134,2012,Stefan Savic,6.80
135,2012,Kolo Touré,6.80
136,2012,Matija Nastasic,4.68
137,2012,Dedryck Boyata,1.70
138,2012,Karim Rekik,
139,2012,Courtney Meppen-Walter,
140,2012,Gaël Clichy,12.75
141,2012,Aleksandar Kolarov,11.90
142,2012,Wayne Bridge,1.70
143,2012,Maicon,12.33
144,2012,Pablo Zabaleta,12.33
145,2012,Jack Rodwell,12.75
146,2012,Nigel de Jong,11.05
147,2012,Javi García,8.93
148,2012,Gareth Barry,8.50
149,2012,George Evans,
150,2012,Yaya Touré,31.03
151,2012,James Milner,17.85
152,2012,Abdisalam Ibrahim,340
153,2012,Denis Suárez,
154,2012,Abdul Razak,
155,2012,Jérémy Hélan,
156,2012,David Silva,42.50
157,2012,Samir Nasri,21.25
158,2012,Rony Lopes,
159,2012,Scott Sinclair,6.80
160,2012,Adam Johnson,8.93
161,2012,Carlos Tévez,19.13
162,2012,Luca Scapuzzi,85
163,2012,Sergio Agüero,43.35
164,2012,Mario Balotelli,27.20
165,2012,Edin Dzeko,24.65
166,2012,John Guidetti,5.95
167,2012,Alex Nimely,
168,2011,Joe Hart,12.75
169,2011,Costel Pantilimon,2.30
170,2011,Stuart Taylor,850
171,2011,Vincent Kompany,17.00
172,2011,Kolo Touré,16.15
173,2011,Joleon Lescott,11.05
174,2011,Micah Richards,8.50
175,2011,Nedum Onuoha,5.10
176,2011,Stefan Savic,5.10
177,2011,Dedryck Boyata,1.70
178,2011,Karim Rekik,
179,2011,Aleksandar Kolarov,12.75
180,2011,Gaël Clichy,12.75
181,2011,Wayne Bridge,4.25
182,2011,Razak Nuhu,
183,2011,Pablo Zabaleta,10.20
184,2011,Nigel de Jong,17.00
185,2011,Gareth Barry,14.45
186,2011,Owen Hargreaves,4.68
187,2011,Michael Johnson,2.13
188,2011,Yaya Touré,21.25
189,2011,James Milner,17.00
190,2011,David Pizarro,6.80
191,2011,Denis Suárez,
192,2011,Abdul Razak,
193,2011,David Silva,27.20
194,2011,Samir Nasri,21.25
195,2011,Joan Román,
196,2011,Adam Johnson,8.50
197,2011,Shaun Wright-Phillips,6.80
198,2011,Carlos Tévez,32.30
199,2011,Luca Scapuzzi,85
200,2011,Sergio Agüero,30.60
201,2011,Edin Dzeko,25.50
202,2011,Mario Balotelli,22.10
203,2011,Emmanuel Adebayor,14.45
204,2010,Shay Given,8.50
205,2010,Joe Hart,5.95
206,2010,Stuart Taylor,1.28
207,2010,David González,425
208,2010,Kolo Touré,17.00
209,2010,Jérôme Boateng,12.75
210,2010,Joleon Lescott,12.75
211,2010,Micah Richards,10.20
212,2010,Vincent Kompany,10.20
213,2010,Nedum Onuoha,3.83
214,2010,Dedryck Boyata,425
215,2010,Ben Mee,43
216,2010,Aleksandar Kolarov,7.65
217,2010,Wayne Bridge,5.95
218,2010,Ryan McGivern,85
219,2010,Greg Cunningham,43
220,2010,Pablo Zabaleta,7.65
221,2010,Shay Logan,255
222,2010,Javan Vidal,85
223,2010,Frédéric Veseli,64
224,2010,Chris Chantler,43
225,2010,Reece Wabara,43
226,2010,Omar Elabdellaoui,
227,2010,Gareth Barry,15.30
228,2010,Nigel de Jong,11.90
229,2010,Patrick Vieira,6.38
230,2010,Michael Johnson,3.83
231,2010,Yaya Touré,15.30
232,2010,James Milner,14.45
233,2010,Abdisalam Ibrahim,85
234,2010,Scott Kay,43
235,2010,Abdul Razak,
236,2010,David Silva,27.20
237,2010,Craig Bellamy,11.05
238,2010,Vladimír Weiss,1.28
239,2010,Shaun Wright-Phillips,12.75
240,2010,Adam Johnson,3.83
241,2010,Carlos Tévez,25.50
242,2010,Edin Dzeko,25.50
243,2010,Emmanuel Adebayor,19.55
244,2010,Mario Balotelli,12.75
245,2010,Roque Santa Cruz,6.80
246,2010,Jô,6.38
247,2010,Alex Nimely,43
248,2010,John Guidetti,43
249,2016,David de Gea,34.00
250,2016,Sergio Romero,4.25
251,2016,Eric Bailly,21.25
252,2016,Chris Smalling,17.00
253,2016,Marcos Rojo,16.15
254,2016,Phil Jones,11.90
255,2016,Daley Blind,18.70
256,2016,Luke Shaw,17.00
257,2016,Cameron Borthwick-Jackson,2.55
258,2016,Matteo Darmian,10.20
259,2016,Antonio Valencia,6.80
260,2016,Michael Carrick,1.70
261,2016,Timothy Fosu-Mensah,850
262,2016,Paul Pogba,68.00
263,2016,Ander Herrera,23.80
264,2016,Marouane Fellaini,10.20
265,2016,Ashley Young,5.95
266,2016,Henrikh Mkhitaryan,31.45
267,2016,Juan Mata,26.35
268,2016,Jesse Lingard,7.65
269,2016,Wayne Rooney,17.00
270,2016,Anthony Martial,25.50
271,2016,Zlatan Ibrahimovic,10.20
272,2016,Marcus Rashford,8.50
273,2016,James Wilson,1.70
274,2015,David de Gea,21.25
275,2015,Sergio Romero,4.68
276,2015,Víctor Valdés,4.25
277,2015,Sam Johnstone,213
278,2015,Joel Pereira,
279,2015,Dean Henderson,
280,2015,Marcos Rojo,13.60
281,2015,Phil Jones,11.90
282,2015,Chris Smalling,9.35
283,2015,Paddy McNair,1.28
284,2015,Ro-Shaun Williams,
285,2015,Regan Poole,
286,2015,Axel Tuanzebe,
287,2015,Luke Shaw,17.85
288,2015,Daley Blind,12.75
289,2015,Tyler Blackett,850
290,2015,Joe Riley,
291,2015,Cameron Borthwick-Jackson,
292,2015,Antonio Valencia,8.50
293,2015,Matteo Darmian,6.80
294,2015,Guillermo Varela,
295,2015,Donald Love,
296,2015,Morgan Schneiderlin,21.25
297,2015,Michael Carrick,4.25
298,2015,Timothy Fosu-Mensah,
299,2015,Bastian Schweinsteiger,23.80
300,2015,Ander Herrera,21.25
301,2015,Marouane Fellaini,13.60
302,2015,Joe Rothwell,85
303,2015,Sean Goss,
304,2015,Ashley Young,7.65
305,2015,James Weir,
306,2015,Juan Mata,28.90
307,2015,Andreas Pereira,425
308,2015,Memphis Depay,17.00
309,2015,Jesse Lingard,850
310,2015,Adnan Januzaj,8.50
311,2015,Wayne Rooney,38.25
312,2015,Nick Powell,2.13
313,2015,Chicharito,8.50
314,2015,Anthony Martial,6.80
315,2015,James Wilson,1.28
316,2015,Will Keane,255
317,2015,Marcus Rashford,
318,2014,David de Gea,14.45
319,2014,Víctor Valdés,10.20
320,2014,Anders Lindegaard,2.13
321,2014,Ben Amos,850
322,2014,Sam Johnstone,213
323,2014,Phil Jones,15.30
324,2014,Jonny Evans,11.05
325,2014,Chris Smalling,10.20
326,2014,Marcos Rojo,4.68
327,2014,Michael Keane,425
328,2014,Tom Thorpe,170
329,2014,Paddy McNair,
330,2014,Luke Shaw,11.05
331,2014,Daley Blind,5.10
332,2014,Reece James,
333,2014,Tyler Blackett,
334,2014,Antonio Valencia,13.60
335,2014,Rafael,12.75
336,2014,Marnick Vermijl,553
337,2014,Saidy Janko,
338,2014,Michael Carrick,7.23
339,2014,Marouane Fellaini,19.55
340,2014,Ander Herrera,17.00
341,2014,Tom Cleverley,11.90
342,2014,Anderson,4.25
343,2014,Darren Fletcher,3.40
344,2014,Ashley Young,11.90
345,2014,Juan Mata,34.00
346,2014,Shinji Kagawa,14.45
347,2014,Andreas Pereira,
348,2014,Nani,13.60
349,2014,Jesse Lingard,850
350,2014,Ángel Di María,25.50
351,2014,Wilfried Zaha,6.80
352,2014,Adnan Januzaj,5.10
353,2014,Wayne Rooney,38.25
354,2014,Nick Powell,4.25
355,2014,Falcao,51.00
356,2014,Robin van Persie,34.00
357,2014,Danny Welbeck,14.45
358,2014,Chicharito,13.60
359,2014,Will Keane,255
360,2014,James Wilson,
361,2013,David de Gea,14.45
362,2013,Anders Lindegaard,5.53
363,2013,Ben Amos,638
364,2013,Sam Johnstone,
365,2013,Nemanja Vidic‎,17.85
366,2013,Phil Jones,14.45
367,2013,Chris Smalling,11.90
368,2013,Jonny Evans,11.05
369,2013,Rio Ferdinand,2.98
370,2013,Michael Keane,
371,2013,Patrice Evra,11.05
372,2013,Fábio,5.95
373,2013,Alexander Büttner,4.25
374,2013,Antonio Valencia,20.40
375,2013,Rafael,12.33
376,2013,Michael Carrick,9.35
377,2013,Marouane Fellaini,23.80
378,2013,Tom Cleverley,10.63
379,2013,Anderson,10.20
380,2013,Darren Fletcher,6.38
381,2013,Ashley Young,21.25
382,2013,Ryan Giggs,850
383,2013,Juan Mata,35.70
384,2013,Shinji Kagawa,17.85
385,2013,Nani,22.95
386,2013,Bebé,850
387,2013,Jesse Lingard,
388,2013,Wilfried Zaha,10.20
389,2013,Adnan Januzaj,
390,2013,Wayne Rooney,55.25
391,2013,Tom Lawrence,
392,2013,Robin van Persie,38.25
393,2013,Chicharito,18.70
394,2013,Danny Welbeck,14.45
395,2013,Ángelo Henríquez,3.40
396,2013,Federico Macheda,2.13
397,2013,James Wilson,
398,2012,David de Gea,14.88
399,2012,Anders Lindegaard,4.25
400,2012,Ben Amos,638
401,2012,Sam Johnstone,
402,2012,Nemanja Vidic‎,21.68
403,2012,Phil Jones,15.30
404,2012,Chris Smalling,12.75
405,2012,Jonny Evans,8.08
406,2012,Rio Ferdinand,5.10
407,2012,Michael Keane,85
408,2012,Scott Wootton,
409,2012,Patrice Evra,13.18
410,2012,Fábio,6.38
411,2012,Alexander Büttner,1.49
412,2012,Antonio Valencia,23.38
413,2012,Rafael,7.65
414,2012,Marnick Vermijl,
415,2012,Michael Carrick,11.90
416,2012,Anderson,10.20
417,2012,Darren Fletcher,8.50
418,2012,Tom Cleverley,7.23
419,2012,Paul Scholes,850
420,2012,Ryan Tunnicliffe,
421,2012,Larnell Cole,
422,2012,Ashley Young,22.95
423,2012,Ryan Giggs,850
424,2012,Robbie Brady,
425,2012,Shinji Kagawa,18.70
426,2012,Nani,31.03
427,2012,Jesse Lingard,
428,2012,Wilfried Zaha,2.98
429,2012,Adnan Januzaj,
430,2012,Wayne Rooney,55.25
431,2012,Nick Powell,213
432,2012,Joshua King,
433,2012,Robin van Persie,40.38
434,2012,Chicharito,15.30
435,2012,Danny Welbeck,14.45
436,2012,Dimitar Berbatov,9.78
437,2012,Federico Macheda,2.13
438,2012,Ángelo Henríquez,128
439,2011,David de Gea,10.20
440,2011,Anders Lindegaard,2.72
441,2011,Tomasz Kuszczak,2.55
442,2011,Ben Amos,
443,2011,Nemanja Vidic‎,31.45
444,2011,Rio Ferdinand,17.00
445,2011,Jonny Evans,7.65
446,2011,Chris Smalling,4.25
447,2011,Phil Jones,2.98
448,2011,Reece Brown,
449,2011,Tom Thorpe,
450,2011,Michael Keane,
451,2011,Patrice Evra,22.95
452,2011,Fábio,2.98
453,2011,Zeki Fryers,
454,2011,Antonio Valencia,16.15
455,2011,Rafael,8.50
456,2011,Ritchie De Laet,1.06
457,2011,Marnick Vermijl,
458,2011,Michael Carrick,15.30
459,2011,Darren Fletcher,18.70
460,2011,Anderson,17.85
461,2011,Paul Scholes,3.83
462,2011,Darron Gibson,2.98
463,2011,Tom Cleverley,2.13
464,2011,Paul Pogba,
465,2011,Larnell Cole,
466,2011,Ashley Young,15.30
467,2011,Ryan Giggs,3.83
468,2011,Ji-Sung Park,10.20
469,2011,Ravel Morrison,
470,2011,Nani,23.80
471,2011,Jesse Lingard,
472,2011,Wayne Rooney,44.20
473,2011,Dimitar Berbatov,23.80
474,2011,Chicharito,9.35
475,2011,Michael Owen,5.95
476,2011,Danny Welbeck,5.10
477,2011,Mame Diouf,3.40
478,2011,Federico Macheda,2.38
479,2011,Will Keane,
480,2010,Edwin van der Sar,3.83
481,2010,Tomasz Kuszczak,3.40
482,2010,Anders Lindegaard,680
483,2010,Ben Amos,85
484,2010,Nemanja Vidic‎,29.75
485,2010,Rio Ferdinand,26.35
486,2010,Jonny Evans,7.23
487,2010,Wes Brown,6.80
488,2010,John O'Shea,5.95
489,2010,Chris Smalling,1.70
490,2010,Oliver Gill,43
491,2010,Patrice Evra,22.95
492,2010,Fábio,1.70
493,2010,Antonio Valencia,14.88
494,2010,Rafael,3.83
495,2010,Gary Neville,2.55
496,2010,Ritchie De Laet,1.06
497,2010,Michael Carrick,22.10
498,2010,Owen Hargreaves,10.20
499,2010,Anderson,17.85
500,2010,Darren Fletcher,15.30
501,2010,Paul Scholes,5.10
502,2010,Darron Gibson,2.13
503,2010,Tom Cleverley,638
504,2010,Corry Evans,510
505,2010,Magnus Wolff Eikrem,
506,2010,Paul Pogba,
507,2010,Ryan Tunnicliffe,
508,2010,Ryan Giggs,6.38
509,2010,Robbie Brady,
510,2010,Ji-Sung Park,9.78
511,2010,Ravel Morrison,
512,2010,Nani,10.63
513,2010,Bebé,
514,2010,Gabriel Obertan,2.98
515,2010,Wayne Rooney,45.05
516,2010,Joshua King,85
517,2010,Dimitar Berbatov,24.65
518,2010,Michael Owen,9.35
519,2010,Chicharito,5.10
520,2010,Mame Diouf,2.55
521,2010,Danny Welbeck,2.13
522,2010,Federico Macheda,1.28
523,2016,Petr Cech,8.50
524,2016,David Ospina,5.95
525,2016,Emiliano Martínez,850
526,2016,Matt Macey,425
527,2016,Shkodran Mustafi,25.50
528,2016,Laurent Koscielny,18.70
529,2016,Gabriel Paulista,10.20
530,2016,Per Mertesacker,6.80
531,2016,Rob Holding,2.13
532,2016,Nacho Monreal,12.75
533,2016,Kieran Gibbs,8.50
534,2016,Héctor Bellerín,21.25
535,2016,Carl Jenkinson,5.10
536,2016,Mathieu Debuchy,4.25
537,2016,Granit Xhaka,29.75
538,2016,Francis Coquelin,12.75
539,2016,Mohamed Elneny,7.23
540,2016,Aaron Ramsey,29.75
541,2016,Santi Cazorla,15.30
542,2016,Alex Oxlade-Chamberlain,17.00
543,2016,Mesut Özil,42.50
544,2016,Alexis Sánchez,55.25
545,2016,Alex Iwobi,8.50
546,2016,Theo Walcott,18.70
547,2016,Olivier Giroud,21.25
548,2016,Lucas Pérez,14.45
549,2016,Danny Welbeck,14.45
550,2016,Yaya Sanogo,850
551,2015,Petr Cech,10.20
552,2015,David Ospina,5.95
553,2015,Emiliano Martínez,850
554,2015,Matt Macey,
555,2015,Per Mertesacker,16.15
556,2015,Laurent Koscielny,16.15
557,2015,Gabriel Paulista,10.20
558,2015,Krystian Bielik,1.28
559,2015,Kieran Gibbs,11.90
560,2015,Nacho Monreal,8.50
561,2015,Mathieu Debuchy,11.05
562,2015,Calum Chambers,10.20
563,2015,Carl Jenkinson,5.95
564,2015,Héctor Bellerín,1.28
565,2015,Mathieu Flamini,5.10
566,2015,Francis Coquelin,3.83
567,2015,Mohamed Elneny,3.19
568,2015,Glen Kamara,
569,2015,Ben Sheaf,
570,2015,Isaac Hayden,
571,2015,Santi Cazorla,22.10
572,2015,Jack Wilshere,21.25
573,2015,Aaron Ramsey,21.25
574,2015,Mikel Arteta,3.40
575,2015,Ismaël Bennacer,85
576,2015,Jeff Reine-Adelaide,
577,2015,Alex Oxlade-Chamberlain,15.30
578,2015,Serge Gnabry,3.40
579,2015,Mesut Özil,34.00
580,2015,Tomás Rosicky,1.70
581,2015,Jon Toral,213
582,2015,Alexis Sánchez,38.25
583,2015,Joel Campbell,5.10
584,2015,Chris Willock,
585,2015,Alex Iwobi,
586,2015,Theo Walcott,23.80
587,2015,Wellington Silva,1.28
588,2015,Olivier Giroud,17.00
589,2015,Danny Welbeck,15.30
590,2015,Yaya Sanogo,1.28
591,2015,Chuba Akpom,850
592,2014,Wojciech Szczesny,12.75
593,2014,David Ospina,4.25
594,2014,Emiliano Martínez,255
595,2014,Matt Macey,
596,2014,Ryan Huddart,
597,2014,Per Mertesacker,15.30
598,2014,Laurent Koscielny,15.30
599,2014,Gabriel Paulista,1.28
600,2014,Ignasi Miquel,340
601,2014,Semi Ajayi,
602,2014,Stefan O'Connor,
603,2014,Kieran Gibbs,11.05
604,2014,Nacho Monreal,9.35
605,2014,Mathieu Debuchy,8.50
606,2014,Carl Jenkinson,5.10
607,2014,Calum Chambers,1.70
608,2014,Héctor Bellerín,425
609,2014,Mathieu Flamini,7.65
610,2014,Francis Coquelin,2.55
611,2014,Isaac Hayden,
612,2014,Glen Kamara,
613,2014,Jack Wilshere,28.05
614,2014,Santi Cazorla,25.50
615,2014,Aaron Ramsey,17.00
616,2014,Mikel Arteta,6.80
617,2014,Abou Diaby,1.70
618,2014,Gedion Zelalem,
619,2014,Alex Oxlade-Chamberlain,14.45
620,2014,Ainsley Maitland-Niles,
621,2014,Serge Gnabry,3.40
622,2014,Mesut Özil,42.50
623,2014,Tomás Rosicky,1.70
624,2014,Alexis Sánchez,25.50
625,2014,Joel Campbell,4.25
626,2014,Alex Iwobi,
627,2014,Theo Walcott,23.80
628,2014,Wellington Silva,340
629,2014,Lukas Podolski,19.55
630,2014,Olivier Giroud,17.00
631,2014,Danny Welbeck,14.45
632,2014,Yaya Sanogo,1.70
633,2014,Chuba Akpom,213
634,2013,Wojciech Szczesny,12.75
635,2013,Emiliano Viviano,5.95
636,2013,Lukasz Fabianski,1.28
637,2013,Thomas Vermaelen,15.30
638,2013,Per Mertesacker,13.60
639,2013,Laurent Koscielny,12.75
640,2013,Johan Djourou,4.25
641,2013,Nacho Monreal,8.50
642,2013,Kieran Gibbs,6.80
643,2013,Bacary Sagna,12.33
644,2013,Carl Jenkinson,3.83
645,2013,Héctor Bellerín,255
646,2013,Mathieu Flamini,4.25
647,2013,Francis Coquelin,3.40
648,2013,Kim Källström,3.40
649,2013,Emmanuel Frimpong,1.28
