,Sex,Type,Tournament,Prize_Money
1,Male,WTF,ATP World Tour Finals,"4,450,000"
2,Male,1000,Indian Wells Masters,"4,500,000"
3,Male,1000,Miami Open,"3,645,000"
4,Male,1000,Monte-Carlo Masters,"2,227,500"
5,Male,1000,Madrid Open,"2,835,000"
6,Male,1000,Italian Open,"2,227,500"
7,Male,1000,Canadian Open,"2,430,000"
8,Male,1000,Cincinnati Masters,"2,430,000"
9,Male,1000,Shanghai Masters,"3,240,000"
10,Male,1000,Paris Masters,"2,227,500"
11,Male,500,Rotterdam Open,"1,150,000"
12,Male,500,Rio Open,"1,309,770"
13,Male,500,Mexican Open,"955,000"
14,Male,500,Dubai Tennis Championships,"1,619,500"
15,Male,500,Barcelona Open,"1,550,000"
16,Male,500,Halle Open,"663,750"
17,Male,500,Queen's Club Championships,"640,000"
18,Male,500,German Open,"1,000,000"
19,Male,500,Washington Open[2],"1,165,500"
20,Male,500,Japan Open,"1,100,000"
21,Male,500,China Open,"2,100,000"
22,Male,500,Swiss Indoors,"1,225,000"
23,Male,500,Valencia Open,"1,357,000"
24,Male,250,Brisbane International,"372,500"
25,Male,250,Aircel Chennai Open,"398,250"
26,Male,250,Qatar ExxonMobil Open,"1,024,000"
27,Male,250,Heineken Open,"355,500"
28,Male,250,Apia International Sydney,"372,500"
29,Male,250,Open Sud de France,"426,605"
30,Male,250,Chile Open,"398,250"
31,Male,250,Brasil Open,"474,005"
32,Male,250,Delray Beach International Tennis Championships,"442,500"
33,Male,250,Open 13,"512,750"
34,Male,250,Copa Claro,"475,300"
35,Male,250,Grand Prix Hassan II,"398,250"
36,Male,250,US Men's Clay Court Championship,"442,500"
37,Male,250,BRD Nastase Tiriac Trophy,"368,450"
38,Male,250,Istanbul Open,
39,Male,250,Bavaria Open,"398,250"
40,Male,250,Estoril Open,"439,405"
41,Male,250,DÌ_sseldorf Open,
42,Male,250,Open de Nice CÌ«te d'Azur,"398,250"
43,Male,250,Topshelf Open,"398,250"
44,Male,250,Stuttgart Open,"398,250"
45,Male,250,Nottingham Open,"405,000"
46,Male,250,Campbell's Hall of Fame Tennis Championships,"442,500"
47,Male,250,SkiStar Swedish Open,"398,250"
48,Male,250,Claro Open Colombia,
49,Male,250,Studena Croatia Open Umag,"398,250"
50,Male,250,Atlanta Tennis Championships,"531,000"
51,Male,250,Allianz Suisse Open Gstaad,"398,250"
52,Male,250,Bet-at-home Cup KitzbÌ_hel,
53,Male,250,Winston-Salem Open,"663,750"
54,Male,250,Open de Moselle,"398,250"
55,Male,250,Tel Aviv Open,
56,Male,250,Malaysian Open,"850,000"
57,Male,250,Shenzhen Open,"850,000"
58,Male,250,If Stockholm Open,"531,000"
59,Male,250,Kremlin Cup,"1,000,000"
60,Male,250,Bank Austria TennisTrophy,"575,250"
61,Female,250,Bank Austria TennisTrophy,"575,250"
62,Female,"Premier WTA TourChampionships",BNP Paribas WTA Finals Singapore presented by SC Global,"7,000,000"
63,Female,Premier Mandatory,BNP Paribas Open,"4,500,000"
64,Female,Premier Mandatory,Sony Ericsson Open,"4,500,000"
65,Female,Premier Mandatory,Mutua MadrileÌ±a Madrid Open,"4,500,000"
66,Female,Premier Mandatory,China Open,"4,500,000"
67,Female,Premier 5,Dubai Duty Free Tennis Championships,"2,000,000"
68,Female,Premier 5,Qatar Ladies Open,"2,168,400"
69,Female,Premier 5,Internazionali BNL d'Italia,"2,000,000"
70,Female,Premier 5,Rogers Cup presented by National Bank,"2,000,000"
71,Female,Premier 5,Western & Southern Financial Group Women's Open,"2,000,000"
72,Female,Premier 5,Toray Pan Pacific Open,"2,000,000"
73,Female,Premier 700,OPEN GDF Suez,"700,000"
74,Female,Premier 700,Volvo Car Open,"700,000"
75,Female,Premier 700,Porsche Tennis Grand Prix,"700,000"
76,Female,Premier 700,Bank of the West Classic,"700,000"
77,Female,Premier 700,Mercury Insurance Open,"700,000"
78,Female,Premier 600,Medibank International Sydney,"600,000"
79,Female,Premier 600,Brussels Open,"618,000"
80,Female,Premier 600,Aegon International,"600,000"
81,Female,Premier 600,New Haven Open at Yale,"600,000"
82,Female,Premier 600,Kremlin Cup,"1,000,000"
83,Female,"International WTATour Championships",Commonwealth Bank Tournament of Champions,"750,000"
84,Female,International,Shenzhen Open,"500,000"
85,Female,International,Brisbane International,"220,000"
86,Female,International,ASB Classic,"220,000"
87,Female,International,Moorilla Hobart International,"220,000"
88,Female,International,PTT Pattaya Open,"220,000"
89,Female,International,Memphis International,"220,000"
90,Female,International,XIX COPA BBVA COLSANITAS,"220,000"
91,Female,International,Abierto Mexicano TELCEL presentado por HSBC,"220,000"
92,Female,International,Malaysian Open 2011,"220,000"
93,Female,International,Monterrey Open,"220,000"
94,Female,International,Andalucia Tennis Experience,"220,000"
95,Female,International,Grand Prix De SAR La Princesse Lalla Meryem,"220,000"
96,Female,International,Barcelona Ladies Open,"220,000"
97,Female,International,Estoril Open,"220,000"
98,Female,International,Internationaux de Strasbourg,"220,000"
99,Female,International,e-Boks Sony Ericsson Open,"220,000"
100,Female,International,Aegon Classic,"220,000"
101,Female,International,UNICEF Open,"220,000"
102,Female,International,Collector Swedish Open Women,"220,000"
103,Female,International,Bucharest Open,"250,000"
104,Female,International,Internazionali Femminili di Palermo,"220,000"
105,Female,International,NURNBERGER Gastien Ladies,"220,000"
106,Female,International,Banka Koper Slovenia Open,"220,000"
107,Female,International,Mid-Atlantic Women's Tennis Championships,"220,000"
108,Female,International,Bell Challenge,"220,000"
109,Female,International,Tashkent Open,"220,000"
110,Female,International,Guangzhou International Women's Open,"220,000"
111,Female,International,Hansol Korea Open,"220,000"
112,Female,International,Generali Ladies Linz,"220,000"
113,Female,International,HP Japan Women's Open Tennis 2011,"220,000"
114,Female,International,BGL BNP PARIBAS Luxembourg Open,"220,000"
114,Male,Grand Slam,Australia Open,"373,000,000"
114,Male,Grand Slam,French Open,"392,000,000"
114,Male,Grand Slam,Wimbledon,"410,500,000"
114,Male,Grand Slam,US Open,"463,000,000"
114,Female,Grand Slam,Australia Open,"373,000,000"
114,Female,Grand Slam,French Open,"392,000,000"
114,Female,Grand Slam,Wimbledon,"410,500,000"
114,Female,Grand Slam,US Open,"463,000,000"