Occupation,Employment,Mean wages (Hourly),Mean Wage Annual
"All occupations


","14,04,00,040","$23.86


","$49,630


"
"Management occupations
","70,90,790",56.74,"1,18,020"
"Business and financial operations occupations
","72,81,190",36.09,"75,070"
"Computer and mathematical occupations
","41,65,140",42.25,"87,880"
Architecture and engineering occupations,"24,99,050",40.53,"84,300"
"Life, physical, and social science occupations


","11,52,840","$35.06

","$72,930

"
Community and social service occupations,"20,19,250",22.69,"47,200"
Legal occupations,"10,75,520",50.95,"1,05,980"
"Education, training, and library occupations","86,36,430",26.21,"54,520"
"Arts,  design, entertainment, sports, and media occupations","19,02,970",28.07,"58,390"
Healthcare practitioners and technical occupations,"83,18,500",38.06,"79,160"
"Healthcare support occupations

","40,43,480",14.65,"30,470"
"Protective service occupations
","33,86,360",22.03,"45,810"
Food preparation and serving related  occupations,"1,29,81,720",11.47,"23,850"
"Building and grounds cleaning and maintenance occupations
","44,26,090",13.47,"28,010"
Personal care and service occupations,"45,14,960",12.74,"26,510"
"Sales and related  occupations
","1,45,36,530",19.5,"40,560"
Office  and administrative support occupations,"2,20,26,080",17.91,"37,260"
"Farming, fishing, and forestry occupations","4,63,640",13.37,"27,810"
Construction and extraction occupations,"55,85,420",23.51,"48,900"
"Installation, maintenance, and repair  occupations
","54,56,640",22.45,"46,690"
"Production occupations
","91,05,650",17.88,"37,190"
Transportation and material moving occupations,"97,31,790",17.34,"36,070"